2025-04-08T06:46:23.597Z [INFO]: 
🚀 Server listening on port 3000
2025-04-10T04:33:42.777Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:33:42.780Z [INFO]: GET /projects/all - ::1
2025-04-10T04:33:46.768Z [INFO]: GET /projects/all - ::1
2025-04-10T04:33:48.775Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:33:48.779Z [INFO]: GET /projects/all - ::1
2025-04-10T04:33:51.460Z [INFO]: GET /projects/all - ::1
2025-04-10T04:34:05.774Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:34:05.780Z [INFO]: GET /projects/all - ::1
2025-04-10T04:34:07.782Z [INFO]: GET /projects/all - ::1
2025-04-10T04:34:08.772Z [INFO]: GET /projects/all - ::1
2025-04-10T04:34:10.766Z [INFO]: GET /projects/all - ::1
2025-04-10T04:34:13.339Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:34:13.342Z [INFO]: GET /projects/all - ::1
2025-04-10T04:34:37.930Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:34:37.933Z [INFO]: GET /projects/all - ::1
2025-04-10T04:34:38.780Z [INFO]: GET /projects/all - ::1
2025-04-10T04:34:40.779Z [INFO]: GET /projects/all - ::1
2025-04-10T04:34:43.906Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:34:43.909Z [INFO]: GET /projects/all - ::1
2025-04-10T04:34:51.779Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:34:51.782Z [INFO]: GET /projects/all - ::1
2025-04-10T04:34:52.774Z [INFO]: GET /projects/all - ::1
2025-04-10T04:34:56.063Z [INFO]: GET /projects/all - ::1
2025-04-10T04:35:20.410Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:35:20.414Z [INFO]: GET /projects/all - ::1
2025-04-10T04:35:57.509Z [INFO]: OPTIONS /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T04:35:57.524Z [INFO]: OPTIONS /users/all - ::1
2025-04-10T04:35:57.538Z [INFO]: GET /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T04:35:57.540Z [INFO]: GET /users/all - ::1
2025-04-10T04:35:58.609Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:35:58.614Z [INFO]: GET /projects/all - ::1
2025-04-10T04:40:46.787Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:40:46.794Z [INFO]: GET /projects/all - ::1
2025-04-10T04:41:06.782Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:41:06.786Z [INFO]: GET /projects/all - ::1
2025-04-10T04:41:08.772Z [INFO]: GET /projects/all - ::1
2025-04-10T04:41:42.147Z [INFO]: OPTIONS /users/login - ::1
2025-04-10T04:41:42.150Z [INFO]: POST /users/login - ::1
2025-04-10T04:41:42.310Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:41:42.328Z [INFO]: GET /projects/all - ::1
2025-04-10T04:42:07.875Z [INFO]: OPTIONS /users/login - ::1
2025-04-10T04:42:07.878Z [INFO]: POST /users/login - ::1
2025-04-10T04:42:08.051Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:42:08.074Z [INFO]: GET /projects/all - ::1
2025-04-10T04:43:05.775Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:43:05.779Z [INFO]: GET /projects/all - ::1
2025-04-10T04:43:09.781Z [INFO]: GET /projects/all - ::1
2025-04-10T04:43:50.310Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:43:50.313Z [INFO]: GET /projects/all - ::1
2025-04-10T04:44:20.777Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:44:20.781Z [INFO]: GET /projects/all - ::1
2025-04-10T04:44:23.795Z [INFO]: GET /projects/all - ::1
2025-04-10T04:44:26.779Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:44:26.783Z [INFO]: GET /projects/all - ::1
2025-04-10T04:44:36.772Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:44:36.774Z [INFO]: GET /projects/all - ::1
2025-04-10T04:48:16.231Z [INFO]: OPTIONS /users/login - ::1
2025-04-10T04:48:16.234Z [INFO]: POST /users/login - ::1
2025-04-10T04:48:16.652Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:48:16.658Z [INFO]: GET /projects/all - ::1
2025-04-10T04:48:24.485Z [INFO]: OPTIONS /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T04:48:24.506Z [INFO]: OPTIONS /users/all - ::1
2025-04-10T04:48:24.516Z [INFO]: GET /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T04:48:24.518Z [INFO]: GET /users/all - ::1
2025-04-10T04:48:29.629Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T04:48:29.635Z [INFO]: GET /projects/all - ::1
2025-04-10T04:48:30.599Z [INFO]: OPTIONS /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T04:48:30.601Z [INFO]: OPTIONS /users/all - ::1
2025-04-10T04:48:30.606Z [INFO]: GET /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T04:48:30.612Z [INFO]: GET /users/all - ::1
2025-04-10T04:48:32.918Z [INFO]: GET /projects/all - ::1
2025-04-10T04:52:42.037Z [INFO]: OPTIONS /users/register - ::1
2025-04-10T04:52:42.040Z [INFO]: POST /users/register - ::1
2025-04-10T05:08:01.896Z [INFO]: OPTIONS /users/login - ::1
2025-04-10T05:08:01.900Z [INFO]: POST /users/login - ::1
2025-04-10T05:08:03.008Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T05:08:03.013Z [INFO]: GET /projects/all - ::1
2025-04-10T05:09:19.616Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T05:09:19.628Z [INFO]: GET /projects/all - ::1
2025-04-10T05:09:25.785Z [INFO]: OPTIONS /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T05:09:25.798Z [INFO]: OPTIONS /users/all - ::1
2025-04-10T05:09:25.802Z [INFO]: GET /projects/get-project/67f74717b4c67057e7dd209e - ::1
2025-04-10T05:09:25.804Z [INFO]: GET /users/all - ::1
2025-04-10T05:09:27.400Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T05:09:27.410Z [INFO]: GET /projects/all - ::1
2025-04-10T05:09:31.940Z [INFO]: OPTIONS /projects/create - ::1
2025-04-10T05:09:31.944Z [INFO]: POST /projects/create - ::1
2025-04-10T05:09:32.146Z [INFO]: GET /projects/all - ::1
2025-04-10T05:10:40.777Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T05:10:40.780Z [INFO]: GET /projects/all - ::1
2025-04-10T05:10:44.781Z [INFO]: GET /projects/all - ::1
2025-04-10T05:10:46.507Z [INFO]: OPTIONS /projects/all - ::1
2025-04-10T05:10:46.514Z [INFO]: GET /projects/all - ::1
